id,date,collection_location,travel_history,new_cases,mobility,sequencing_intensity
seq_104003,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104017,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104027,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104034,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104045,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104068,2020-06-24,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104087,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104092,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104094,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104097,2020-06-23,domestic,travel,1413,-0.01,0.102618542108988
seq_104119,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104137,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104157,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104169,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104170,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104172,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104184,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10418,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104199,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104208,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10421,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104223,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104224,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104226,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104242,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10424,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104283,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104296,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_1042,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104307,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104308,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10435,2020-06-23,domestic,travel,1413,-0.01,0.102618542108988
seq_104380,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104384,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104401,2020-06-23,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104433,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104487,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104505,2020-06-22,domestic,travel,1413,-0.01,0.102618542108988
seq_104565,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104570,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104583,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104584,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104617,2020-06-22,domestic,travel,1413,-0.01,0.102618542108988
seq_104635,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104640,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104643,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104656,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104658,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104674,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104676,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104679,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104692,2020-06-22,domestic,travel,1413,-0.01,0.102618542108988
seq_104708,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104715,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104719,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104721,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10472,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104735,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104754,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104774,2020-06-22,domestic,no_travel,1413,-0.01,0.102618542108988
seq_1047,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104799,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104818,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104833,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104845,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_10484,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104866,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
seq_104869,2020-06-21,domestic,no_travel,1413,-0.01,0.102618542108988
